INPUT_TABLE
Variable ID
GHGLink_start

"region","linked-ghg-policy","price-adjust-year","price-adjust","demand-adjust-year","demand-adjust","market","linked-policy","price-unit","output-unit"
"Argentina","CH4_AWB",2020,0,2020,25,"Argentina","GHG","1990$/tCH4","TgCH4"
"Argentina","CH4_AGR",2020,0,2020,25,"Argentina","GHG","1990$/tCH4","TgCH4"
"Argentina","N2O_AWB",2020,0,2020,298,"Argentina","GHG","1990$/tN2O","TgN2O"
"Argentina","N2O_AGR",2020,0,2020,298,"Argentina","GHG","1990$/tN2O","TgN2O"
"Argentina","CO2_LUC",2020,0.01,2020,3.666666667,"Argentina","GHG","1990$/tC","MTC"
"Argentina","HFC143a",2020,0,2020,4.47,"Argentina","GHG","1990$/GgHFC143a","GgHFC143a"
"Argentina","HFC152a",2020,0,2020,0.124,"Argentina","GHG","1990$/GgHFC152a","GgHFC152a"
"Argentina","HFC227ea",2020,0,2020,3.22,"Argentina","GHG","1990$/GgHFC227ea","GgHFC227ea"
"Argentina","HFC23",2020,0,2020,14.8,"Argentina","GHG","1990$/GgHFC23","GgHFC23"
"Argentina","HFC236fa",2020,0,2020,9.81,"Argentina","GHG","1990$/GgHFC23fa","GgHFC23fa"
"Argentina","HFC32",2020,0,2020,0.675,"Argentina","GHG","1990$/GgHFC32","GgHFC32"
"Argentina","HFC365mfc",2020,0,2020,0.794,"Argentina","GHG","1990$/GgHFC365mfc","GgHFC365mfc"
"Australia_NZ","CO2",2020,1,2020,3.666666667,"Australia_NZ","GHG","1990$/tC","MTC"
"Australia_NZ","CH4",2020,0,2020,25,"Australia_NZ","GHG","1990$/tCH4","TgCH4"
"Australia_NZ","N2O",2020,0,2020,298,"Australia_NZ","GHG","1990$/tN2O","TgN2O"
"Australia_NZ","C2F6",2020,0,2020,12.2,"Australia_NZ","GHG","1990$/tC2F6","GgC2F6"
"Australia_NZ","CF4",2020,0,2020,7.39,"Australia_NZ","GHG","1990$/tCF4","GgCF4"
"Australia_NZ","HFC125",2020,0,2020,3.5,"Australia_NZ","GHG","1990$/GgHFC125","GgHFC125"
"Australia_NZ","HFC134a",2020,0,2020,1.43,"Australia_NZ","GHG","1990$/GgHFC134a","GgHFC134a"
"Australia_NZ","HFC245fa",2020,0,2020,1.03,"Australia_NZ","GHG","1990$/GgHFC245fa","GgHFC245fa"
"Australia_NZ","SF6",2020,0,2020,22.8,"Australia_NZ","GHG","1990$/tSF6","GgSF6"
"Australia_NZ","CH4_AWB",2020,0,2020,25,"Australia_NZ","GHG","1990$/tCH4","TgCH4"
"Australia_NZ","CH4_AGR",2020,0,2020,25,"Australia_NZ","GHG","1990$/tCH4","TgCH4"
"Australia_NZ","N2O_AWB",2020,0,2020,298,"Australia_NZ","GHG","1990$/tN2O","TgN2O"
"Australia_NZ","N2O_AGR",2020,0,2020,298,"Australia_NZ","GHG","1990$/tN2O","TgN2O"
"Australia_NZ","CO2_LUC",2020,0.01,2020,3.666666667,"Australia_NZ","GHG","1990$/tC","MTC"
"Australia_NZ","HFC143a",2020,0,2020,4.47,"Australia_NZ","GHG","1990$/GgHFC143a","GgHFC143a"
"Australia_NZ","HFC152a",2020,0,2020,0.124,"Australia_NZ","GHG","1990$/GgHFC152a","GgHFC152a"
"Australia_NZ","HFC227ea",2020,0,2020,3.22,"Australia_NZ","GHG","1990$/GgHFC227ea","GgHFC227ea"
"Australia_NZ","HFC23",2020,0,2020,14.8,"Australia_NZ","GHG","1990$/GgHFC23","GgHFC23"
"Australia_NZ","HFC236fa",2020,0,2020,9.81,"Australia_NZ","GHG","1990$/GgHFC23fa","GgHFC23fa"
"Australia_NZ","HFC32",2020,0,2020,0.675,"Australia_NZ","GHG","1990$/GgHFC32","GgHFC32"
"Australia_NZ","HFC365mfc",2020,0,2020,0.794,"Australia_NZ","GHG","1990$/GgHFC365mfc","GgHFC365mfc"
"Brazil","CO2",2020,1,2020,3.666666667,"Brazil","GHG","1990$/tC","MTC"
"Brazil","CH4",2020,0,2020,25,"Brazil","GHG","1990$/tCH4","TgCH4"
"Brazil","N2O",2020,0,2020,298,"Brazil","GHG","1990$/tN2O","TgN2O"
"Brazil","C2F6",2020,0,2020,12.2,"Brazil","GHG","1990$/tC2F6","GgC2F6"
"Brazil","CF4",2020,0,2020,7.39,"Brazil","GHG","1990$/tCF4","GgCF4"
"Brazil","HFC125",2020,0,2020,3.5,"Brazil","GHG","1990$/GgHFC125","GgHFC125"
"Brazil","HFC134a",2020,0,2020,1.43,"Brazil","GHG","1990$/GgHFC134a","GgHFC134a"
"Brazil","HFC245fa",2020,0,2020,1.03,"Brazil","GHG","1990$/GgHFC245fa","GgHFC245fa"
"Brazil","SF6",2020,0,2020,22.8,"Brazil","GHG","1990$/tSF6","GgSF6"
"Brazil","CH4_AWB",2020,0,2020,25,"Brazil","GHG","1990$/tCH4","TgCH4"
"Brazil","CH4_AGR",2020,0,2020,25,"Brazil","GHG","1990$/tCH4","TgCH4"
