iso,country,GCAM_region,source,rule,GHGs,CO2,CH4,N2O,HFCs,PFCs,SF6,other_GHG,GHG_total,LULUCF,sectors_C2ES,energy,industry,ag,LULUCF,waste,other_sector,INDC_UC,INDC_CN,INDC_UC_MtCO2eq,INDC_CN_MtCO2eq,target_type,ref_point,BY_emiss_source,BY_emiss_net_Mt_CO2e,BY_emiss_gross_Mt_CO2e,GWP,target_year,ref_emiss,notes
dom,Dominican Republic,Central America and Caribbean,Minji,1,"CO2, CH4, N2O
",1,1,1,,,,,3,1,All sectors including land use (Minji),1,1,1,1,1,,0,-0.25,,,intensity_capita,2010,INDC/ UN pop,35.738,,SAR,2030,35.738,SPECIAL CASE - converted per capita base year emissions to raw emissions using UN population data
ecu,Ecuador,South America_Southern,MB,3,"CO2, CH4, N2O, carbon monoxide, particulate matter, nitrogen oxide and sulfur dioxide",1,1,1,,,,"carbon monoxide, particulate matter, nitrogen oxide and sulfur dioxide",3,0,Energy,1,,,,,,-0.2,-0.4,,,BAU,BAU,,,,AR5,2025,,"separate actions for LULUCF (not included in target); ""Ecuador intends to reduce its emissions in the energy sector in 20.4-25% below the BAU scenario. However, a potential for reducing emissions even further in the energy sector, to a level between 37.5 and 45.8% with respect to the BAU baseline has also been calculated. This potential could be harnessed in light of the appropriate circumstances in terms of availability of resources and support offered by the international community. This is a second scenario dependent upon international support and will translate into a per capita emissions reduction in 2025 of 40% below the BAU levels."""
egy,Egypt,Africa_Northern,C2ES,3a,,,,,,,,,0,0,,,,,,,,,,,,action_conditional,,,,,,,,
slv,El Salvador,Central America and Caribbean,C2ES,3a,,,,,,,,,0,,,,,,,,,,,,,sectoral,,,,,,,,
gnq,Equatorial Guinea,Africa_Western,C2ES,1,CO2,1,,,,,,,1,1,"Energy, transportation, industry, forestry, waste",1,1,,1,1,,0,-0.2,,,base_year,2010,CAIT,25.72,,N/A,2030,25.72,CAIT for BY emissions
eri,Eritrea,Africa_Eastern,MB,2,"CO2, CH4, N2O",1,1,1,,,,,3,1,"All (Energy, industry, transport, forestry, agriculture, waste)",1,1,1,1,1,,-0.39,-0.81,,,BAU ,BAU,INDC,6.331,,,2030,6.331,
eth,Ethiopia,Africa_Eastern,ADVANCE,2,"CO2, CH4, N2O",1,1,1,,,,,3,1,"All (Agriculture (livestock and soil), forestry, transport, electric power, industry (including mining) and buildings (including waste and green cities))",1,1,1,1,1,green cities,0,-0.64,0.145,,BAU,BAU,INDC,400,,AR4,2030,400,
,EU-12,EU-12,Minji,1,"CO2, CH4, N2O, HFCs, PFCs, SF6, NF3",1,1,1,1,1,1,NF3,6,0,"All (Energy; industrial processes and product use; agriculture; LULUCF; waste), BUT ""Policy on land-use accounting to be decided prior to 2020""",1,1,1,,1,,-0.4,-0.4,,,base_year,1990,,,5606,AR4,2030,5606,
fji,Fiji,Southeast Asia,MB,2,CO2,1,,,,,,,1,0,Energy,1,,,,,,0,-0.28,1.8,,BAU,BAU,INDC,2.5,,N/A,2030,2.5,
guf,French Guiana,South America_Northern,NO INDC,3a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
pyf,French Polynesia,Southeast Asia,NO INDC,3a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
gab,Gabon,Africa_Western,MB,3,"CO2, CH4, N2O",1,1,1,,,,,3,0,All sectors excluding forest biomass,1,1,1,,1,,-0.5,-0.5,,,BAU,BAU,,,,,2025,,Check BAU against chart in INDC
gmb,Gambia,Africa_Western,C2ES,3,"CO2, CH4, N2O, HFCs, PFCs, SF6, NF3",1,1,1,1,1,1,NF3,6,0,"Energy (incl. transport), industrial processes and product use, agriculture, waste",1,1,1,,1,,0,-0.45,,,BAU,BAU,,,,AR4,2030,,UC:  Mitigation in renewables and afforestation (estimated to reduce emissions 353.9Gg below BAU in 2030); also give 2025 target (-44.4%)
geo,Georgia,Central Asia,C2ES,2,"CO2, CH4, N2O, HFC-22, HFC-410",1,1,1,1,,,,4,0,"Energy, industrial processes, agriculture, waste",1,1,1,,1,,-0.15,-0.25,32.66,,BAU,BAU,INDC,,38.42,SAR,2030,38.42,
gha,Ghana,Africa_Western,ADVANCE,2,"CO2, CH4, N2O, HFC-22, HFC-410",1,1,1,1,,,,4,1,"All (Energy including transport, industrial process and product use, AFOLU and waste)",1,1,1,1,1,,-0.15,-0.45,,,BAU,BAU,INDC,73.95,,SAR,2030,73.95,Also give 2025 target
grd,Grenada,Central America and Caribbean,MB,1,"CO2, CH4",1,1,,,,,,2,1,"Electricity, transport, waste, forestry",1,,,1,1,,-0.3,-0.3,,,base_year,2010,INDC,0.252,,AR4,2025,0.252,Provide indicative 2030 target (indicative reduction of 40% of 2010 by 2030)
glp,Guadeloupe,Central America and Caribbean,NO INDC,3a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
gum,Guam,Southeast Asia,NO INDC,3a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
gtm,Guatemala,Central America and Caribbean,Minji,2,"CO2, CH4, N2O
",1,1,1,,,,,3,1,"All (Energy, industrial processes, agriculture, land-use, land-use change and forestry, waste)",1,1,1,1,1,,-0.11,-0.23,,,BAU,BAU,INDC,53.85,,,2030,53.85,
gin,Guinea,Africa_Western,ADVANCE,2,UNSPECIFIED,1,,,,,,,1,0,"Energy, agriculture, waste, industrial processes",1,1,1,,1,,0,-0.13,,,BAU,BAU,INDC,,55,,2030,55,
